source,scope,year,doi,method_auto,method_verified,method_basis,methods_mentioned,oa_rep,oa_max,kappa,sensor,res_m,region,validation,validation_evidence,validation_auto,oa_snippet,file,n_val,n_val_snippet,eligible,eligibility_reason,method_audit_note,multi_method,f1_scan,f1_verified,iou_scan,producers_acc_scan,users_acc_scan,f1_in_s8_subset,oa_unverified
new,crop-classification,2025,10.1016/j.jenvman.2025.125542,Attention/Transformer,,body,Attention/Transformer|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,80.63,96,,Sentinel-2,10,China,random CV/split,,random CV/split,overall accuracy (OA) of 80.63 %,1-s2.0-S030147972501518X-main,57,57 samples were used for testing,1,,,1,,,,,,,
new,crop-classification,2025,10.3390/rs17183207,RNN/LSTM,,abstract,Attention/Transformer|RNN/LSTM|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,93.46,99.12,,Sentinel-2,10,Italy,random CV/split,,random CV/split,overall accuracy (99.12%,remotesensing-17-03207,,,1,,,1,100,,100,,,,
new,crop-classification,2025,10.1007/s12518-025-00659-x,CNN/Deep Learning,,abstract,Foundation Model|Attention/Transformer|RNN/LSTM|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,93.9,94.8,0.89,Sentinel-2,,India,random CV/split,,random CV/split,overall accuracy (94.8%,s12518-025-00659-x,,,1,,,1,92,,,,95,,
new,crop-classification,2026,10.3390/agriculture16090920,RNN/LSTM,,abstract,RNN/LSTM|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,93.35,93.61,0.9166,Sentinel-2,,China,random CV/split,,random CV/split,overall accuracy of 93.61%,agriculture-16-00920,,,1,,,1,85.61,,100,,,,
existing,rice,2004,10.1007/bf03030862,Phenology/Threshold,,abstract,Random Forest/SVM|Phenology/Threshold,93,93.77,0.9263,Landsat,23,India,ground/field reference,,ground/field reference,"Overall accuracy = 86,69%",001_Analysis of temporal sar and optical data for rice mapping,,,1,,,1,,,,,,,
existing,rice,2009,10.1080/01431160902842391,Random Forest/SVM,,body,Random Forest/SVM|Phenology/Threshold,80.1,80.1,0.95,Landsat,,USA,random CV/split,,random CV/split,overall accuracy of 80.1%,011_Mapping paddy rice with multitemporal ALOSPALSAR imagery in southeast China,,,1,,,1,,,,,,,
existing,rice,2011,10.1117/1.3619838,Phenology/Threshold,,body,Phenology/Threshold,80,80,,Landsat,500,India,?,,?,overall accuracy of 80%,014_Mapping rice areas of South Asia using MODIS multitemporal data,,,1,,,0,,,,,,,
existing,rice,2011,10.1109/jstars.2010.2091493,Phenology/Threshold,,abstract,Phenology/Threshold,96,96,0.91,MODIS,12.5,USA,random CV/split,,random CV/split,overall accuracies (95%,"017_Monitoring Rice Agriculture in the Sacramento Valley, USA With Multitemporal PALSAR and MODIS Imagery",,,1,,,0,,,,,,,
new,rice,2012,10.1016/j.asr.2011.09.011,Phenology/Threshold,,abstract,Phenology/Threshold,90.1,90.1,0.901,Landsat,250,Vietnam,ground/field reference,,ground/field reference,overall accuracy of 90.1%,1-s2.0-S0273117711006764-main,,,1,,,0,,,,,,,
new,rice,2013,10.4209/aaqr.2012.06.0150,Phenology/Threshold,,abstract,Phenology/Threshold,87,98,,MODIS,2,Taiwan,ground/field reference,,ground/field reference,overall accuracy of 87%,aaqr-12-06-oa-0150,,,0,"Rice-straw burned-area mapping for an emissions inventory (burn status, not paddy extent)",,0,,,,,,,
existing,rice,2014,10.3390/rs61212789,Phenology/Threshold,,abstract,Random Forest/SVM|Phenology/Threshold,87.2,90.4,0.72,Sentinel-1,30,Philippines,random CV/split,,random CV/split,overall accuracy of 90%,025_Complementarity of Two Rice Mapping Approaches Characterizing Strata Mapped by Hypertemporal MODIS and Rice Paddy Identi,,,1,,,1,,,,,,,
existing,rice,2014,10.3390/rs6054090,Transfer/Pre-trained,,body,Foundation Model|Object-Based|Phenology/Threshold,78.5,80,,Sentinel-1,,Vietnam,ground/field reference,,ground/field reference,overall accuracy of 80%,027_Monitoring Changes in Rice Cultivated Area from SAR and Optical Satellite Images in Ben Tre and Tra Vinh Provinces in Me,75,75 ground truth points,1,,Auto-label 'Foundation Model' corrected to 'Transfer/Pre-trained': manual audit found no self-supervised EO foundation model; transfer/pre-training study (Supplementary S4),1,,,,,,,
new,rice,2014,10.3390/rs6031938,Phenology/Threshold,,abstract,Random Forest/SVM|Phenology/Threshold,94,94,,Landsat,5,Bangladesh,ground/field reference,,ground/field reference,overall accuracy of 94%,remotesensing-06-01938-v2,,,1,,,1,,,,,,,
existing,rice,2015,10.3390/rs70505077,Object-Based,,title,Random Forest/SVM|Object-Based|Phenology/Threshold,95.84,96.68,0.93,Landsat,0.5,Cambodia,ground/field reference,,ground/field reference,overall accuracy of higher than 95%,029_Object-Based Flood Mapping and Affected Rice Field Estimation with Landsat 8 OLI and MODIS Data,,,0,"Object-based flood mapping / affected-rice estimation (flood extent, not paddy-type accuracy)",,1,,,,,,,
existing,rice,2015,10.5194/isprsarchives-xl-7-w3-77-2015,Phenology/Threshold,,title,Phenology/Threshold,85.3,85.3,0.74,Sentinel-1,150,Vietnam,ground/field reference,,ground/field reference,overall accuracy of 85.3%,032_Rice-planted area extraction by time series analysis of ENVISAT ASAR WS data using a phenology-based classification appr,,,1,,,0,,,,,80.3,,
existing,rice,2015,10.3390/rs70708858,Phenology/Threshold,,abstract,Phenology/Threshold,78,78,,Landsat,500,India,ground/field reference,,ground/field reference,Overall Accuracy 78%,"036_Mapping Flooded Rice Paddies Using Time Series of MODIS Imagery in the Krishna River Basin, India",,,1,,,0,,,,,85,,
existing,rice,2015,10.1016/j.isprsjprs.2015.05.011,Phenology/Threshold,,title,Phenology/Threshold,97,97,0.92,Landsat,463,USA,random CV/split,,random CV/split,overall accuracy was 97%,039_Mapping paddy rice planting areas through time series analysis of MODIS land surface temperature and vegetation index da,,,1,,,0,,,,92,96,,
new,rice,2015,10.1016/j.rse.2015.01.004,Phenology/Threshold,,abstract,Object-Based|Phenology/Threshold,91,95,0.95,Sentinel-2,30,USA,ground/field reference,,ground/field reference,overall accuracies were 95%,1-s2.0-S0034425715000139-main,,,1,,,1,,,,,,,
new,rice,2015,10.1016/j.isprsjprs.2015.04.008,Phenology/Threshold,,abstract,CNN/Deep Learning|Object-Based|Phenology/Threshold,88.7,88.7,0.94,Sentinel-2,0.5,USA,ground/field reference,,ground/field reference,overall accuracy (88.7%,1-s2.0-S0924271615001185-main,,,1,,,1,,,,,,,
new,rice,2015,10.3390/rs71215805,Phenology/Threshold,,abstract,Phenology/Threshold,78,78,0.57,MODIS,5,Japan,random CV/split,,random CV/split,overall accuracy of 78%,remotesensing-07-15805,100,100 ground truth sample,1,,,0,,,,,,,
new,rice,2015,10.3390/s150100769,Random Forest/SVM,,body,Random Forest/SVM|Object-Based|Phenology/Threshold,92.35,95.7,,Landsat,,China,random CV/split,,random CV/split,overall accuracy of 89%,sensors-15-00769,,,1,,,1,,,,,,,
existing,rice,2016,10.1016/j.isprsjprs.2016.05.010,Phenology/Threshold,,abstract,Random Forest/SVM|Phenology/Threshold,98,98,,Sentinel-2,30,USA,random CV/split,,random CV/split,overall accuracy of 98%,042_Evolution of regional to global paddy rice mapping methods A review,,,1,,,1,,,,,,,
existing,rice,2016,10.3390/s17010010,Object-Based,,title,Random Forest/SVM|Object-Based|Phenology/Threshold,93,93,,Sentinel-2,30,China,ground/field reference,,ground/field reference,overall accuracy of 93%,045_Object-Based Paddy Rice Mapping Using HJ-1AB Data and Temporal Features Extracted from Time Series MODIS NDVI Data,1800,1800 ground truth points,1,,,1,,,,,,,
existing,rice,2016,10.3390/rs8060479,Object-Based,,title,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,87.5,90.62,0.8437,Sentinel-2,30,China,random CV/split,,random CV/split,overall accuracy of 90.62%,"046_An Object-Based Paddy Rice Classification Using Multi-Spectral Data and Crop Phenology in Assam, Northeast India",1800,1800 ground truth points,1,,,1,,,,,,,
new,rice,2016,10.1080/15481603.2016.1273438,Object-Based,,title,Random Forest/SVM|Object-Based|Phenology/Threshold,90.47,93.65,0.8699,Landsat,15,China,random CV/split,,random CV/split,overall accuracy of 87.28%,Efficient paddy field mapping using Landsat-8 imagery and object-based image analysis based on advanced fractel net evolution approach,,,1,,,1,,,100,,,,
new,rice,2016,10.5194/isprsarchives-xli-b8-863-2016,Phenology/Threshold,,abstract,Phenology/Threshold,86.2,86.2,0.862,Sentinel-1,10,Vietnam,ground/field reference,,ground/field reference,overall accuracy and Kappa coefficient were 86.2%,isprs-archives-XLI-B8-863-2016,,,1,,,0,,,,,,,
existing,rice,2017,10.3390/w9060392,Phenology/Threshold,,abstract,Phenology/Threshold,77.7,77.7,0.87,Sentinel-2,10,Vietnam,ground/field reference,,ground/field reference,overall accuracies (in quotation {}) ranging from 77.7%,050_European Rice Cropland Mapping with Sentinel-1 Data The Mediterranean Region Case Study,,,1,,,0,,,37,,99.5,,
existing,rice,2017,10.1080/01431161.2017.1395969,Random Forest/SVM,,abstract,Random Forest/SVM|Object-Based|Phenology/Threshold,90.8,99,0.93,Sentinel-1,10,China,random CV/split,,random CV/split,overall accuracy increased from 80.6%,051_Mapping paddy rice fields by applying machine learning algorithms to multi-temporal Sentinel-1A and Landsat data,,,1,,,1,,,,,,,
existing,rice,2018,10.1109/jstars.2017.2784784,Random Forest/SVM,,body,Random Forest/SVM|Object-Based|Phenology/Threshold,91.25,95,,Sentinel-1,5,USA,random CV/split,,random CV/split,overall accuracy (93.5%,"053_Mapping Double and Single Crop Paddy Rice With Sentinel-1A at Varying Spatial Scales and Polarizations in Hanoi, Vietnam",41,41 polygons for validation,1,,,1,,,,,,,
existing,rice,2018,10.1109/lgrs.2018.2865516,Phenology/Threshold,,title,Phenology/Threshold,96.8,96.8,0.97,Landsat,,China,,"Auto label spatial/independent was a false positive: ""spatially independent"" described single vs double cropping systems, not validation.",spatial/independent,overall accuracy of 96.8%,054_Mapping Rice Planted Area Using a New Normalized EVI and SAVI (NVI) Derived From Landsat-8 OLI,,,1,,,0,,,,,,,
existing,rice,2018,10.1109/lgrs.2018.2865816,Phenology/Threshold,,body,Phenology/Threshold,85,85,,Sentinel-1,,USA,?,,?,overall accuracy >85%,056_Sen4Rice A Processing Chain for Differentiating Early and Late Transplanted Rice Using Time-Series Sentinel-1 SAR Data W,150,150 validation points,1,,,0,,,,,,,
existing,rice,2018,10.3390/rs10030447,Phenology/Threshold,,abstract,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,90,90,,Sentinel-2,6.25,Korea,random CV/split,,random CV/split,overall accuracy of 90%,060_Classification and Mapping of Paddy Rice by Combining Landsat and SAR Time Series Data,,,1,,,1,,,,,,,
existing,rice,2018,10.1080/22797254.2018.1556568,Phenology/Threshold,,title,Object-Based|Phenology/Threshold,93.03,96.98,0.93,Landsat,25,China,random CV/split,,random CV/split,overall accuracy of 89.09%,"063_Incorporating crop phenological trajectory and texture for paddy rice detection with time series MODIS, HJ-1A and ALOS P",,,1,,,1,100,,,,,,
existing,rice,2018,10.3390/s18010185,Phenology/Threshold,,abstract,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,98.1,98.1,0.94,Sentinel-1,1,China,ground/field reference,,ground/field reference,overall accuracy was 98.10%,"064_Mapping Early, Middle and Late Rice Extent Using Sentinel-1A and Landsat-8 Data in the Poyang Lake Plain, China",,,1,,,1,,,31,,,,
existing,rice,2018,10.3390/rs10111840,CNN/Deep Learning,,title,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,90,90,,Sentinel-2,5,USA,random CV/split,,random CV/split,overall accuracy was approximately 90%,"065_Mapping Paddy Rice Using a Convolutional Neural Network (CNN) with Landsat 8 Datasets in the Dongting Lake Area, China",580,580 ground truth points,1,,,1,89.97,88.24,48,96.22,,1,
new,rice,2018,10.1080/01431161.2018.1530812,Phenology/Threshold,,abstract,CNN/Deep Learning|Object-Based|Phenology/Threshold,82.81,85.3,,Landsat,30,China,?,,?,overall accuracy of 80.33%,01431161.2018.1530812,,,1,,,1,,,,,,,
new,rice,2018,10.4172/2167-0587.1000215,Phenology/Threshold,,abstract,Phenology/Threshold,69.09,69.0909,,Landsat,15,Iran,?,,?,overall accuracy of the method was 69.0909%,mapping-the-spatial-distribution-of-rice-fields-in-southern-coast-ofcaspian-sea-using-landsat-8-timeseries-images-2167-0587-1000215,,,1,,,0,,,,,,,
existing,rice,2019,10.3390/rs11070887,Random Forest/SVM,,abstract,RNN/LSTM|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,93.95,99.2,0.77,Sentinel-2,10,France,random CV/split,,random CV/split,overall accuracy obtained using a simple decision tree reached 96.3%,"067_Mapping Paddy Rice Using Sentinel-1 SAR Time Series in Camargue, France",832,832 reference plots,1,,,1,95,94.3,,99,98.4,1,
existing,rice,2019,10.1016/j.asr.2019.08.042,Random Forest/SVM,,title,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,85,85,0.85,Sentinel-2,10,China,ground/field reference,,ground/field reference,overall accuracy and Kappa coefficient are above 85%,068_Mapping paddy rice by the object-based random forest method using time series Sentinel-1Sentinel-2 data,,,1,,,1,,,,,,,
existing,rice,2019,10.3390/ijgi8050211,Random Forest/SVM,,abstract,Foundation Model|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,80.7,80.7,,Sentinel-2,,Vietnam,random CV/split,,random CV/split,overall accuracy of the classiﬁcation was 80.7%,074_Monitoring and Mapping of Rice Cropping Pattern in Flooding Area in the Vietnamese Mekong Delta Using Sentinel-1A Data A,140,140 ground truth points,1,,,1,,,79,,,,
existing,rice,2019,10.3390/rs11141666,Random Forest/SVM,,abstract,Random Forest/SVM|Object-Based|Phenology/Threshold,95.65,96.5,0.92,Sentinel-2,5,Indonesia,random CV/split,,random CV/split,Overall accuracy was 94.8%,"076_Automated Near-Real-Time Mapping and Monitoring of Rice Extent, Cropping Patterns, and Growth Stages in Southeast Asia U",,,1,,,1,,,,,98.6,,
existing,rice,2019,10.1038/s41597-019-0036-3,Random Forest/SVM,,abstract,Random Forest/SVM|Phenology/Threshold,90,90,,Sentinel-2,10,USA,random CV/split,,random CV/split,overall accuracy >90%,078_High resolution paddy rice maps in cloud-prone Bangladesh and Northeast India using Sentinel-1 data,,,1,,,1,,,,,,,
existing,rice,2019,10.1007/s11707-019-0803-7,Random Forest/SVM,,abstract,Random Forest/SVM|Object-Based|Phenology/Threshold,89,93,,Sentinel-2,10,China,random CV/split,,random CV/split,Overall Accuracy:93%,080_Cloud-based typhoon-derived paddy rice flooding and lodging detection using multi-temporal Sentinel-1&amp;2,,,0,"Typhoon-induced rice flooding/lodging damage detection, not extent mapping",,1,,,,,,,
existing,rice,2019,10.3390/rs11141699,Phenology/Threshold,,title,Random Forest/SVM|Object-Based|Phenology/Threshold,98.19,98.19,0.9819,Sentinel-2,30,China,random CV/split,,random CV/split,overall accuracy and the kappa coeﬃcient of our paddy rice map were 98.19%,081_Mapping Paddy Rice Planting Area in Northeastern China Using Spatiotemporal Data Fusion and Phenology-Based Method,,,1,,,1,,,,,,,
new,rice,2019,10.1080/15481603.2019.1646978,CNN/Deep Learning,,body,CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,91,91,,Sentinel-2,5,China,ground/field reference,,ground/field reference,overall accuracies ranged from 91%,15481603.2019.1646978,,,1,,,1,,,,,,,
new,rice,2019,10.3390/rs11172034,Random Forest/SVM,,abstract,Random Forest/SVM|Object-Based|Phenology/Threshold,90.94,93.5,,Sentinel-1,10,China,random CV/split,,random CV/split,OA of 83.9%,remotesensing-11-02034,,,1,,,1,100,,36,,,,
existing,rice,2020,10.3390/ijgi9110663,Random Forest/SVM,,abstract,RNN/LSTM|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,92.1,92.1,,Sentinel-2,10,Indonesia,random CV/split,,random CV/split,overall accuracies of 92.10%,083_Combination of Landsat 8 OLI and Sentinel-1 SAR Time-Series Data for Mapping Paddy Fields in Parts of West and Central J,,,1,,,1,,,,80.86,84.83,,
existing,rice,2020,10.3390/rs13010103,Random Forest/SVM,,abstract,Foundation Model|Random Forest/SVM|Object-Based|Phenology/Threshold,91.9,96.8,0.883,Sentinel-1,5,Taiwan,random CV/split,,random CV/split,overall accuracy of 91.9%,084_Rice-Field Mapping with Sentinel-1A SAR Time-Series Data,,,1,,,1,,,,74.1,,,
existing,rice,2020,10.1080/01431161.2020.1846223,Transfer/Pre-trained,,body,Foundation Model|RNN/LSTM|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,82.75,85,,Sentinel-2,20,India,random CV/split,,random CV/split,overall accuracy of more than 70%,085_Semi-supervised Classification of Paddy Fields from Dual Polarized Synthetic Aperture Radar (SAR) images using Deep Lear,,,1,,Auto-label 'Foundation Model' corrected to 'Transfer/Pre-trained': manual audit found no self-supervised EO foundation model; transfer/pre-training study (Supplementary S4),1,,,,,,,
existing,rice,2020,10.1080/15481603.2020.1773012,Phenology/Threshold,,abstract,CNN/Deep Learning|Phenology/Threshold,95,95,,Sentinel-1,30,China,ground/field reference,,ground/field reference,overall accuracy (higher than 95%,088_Optimal MODIS data processing for accurate multi-year paddy rice area mapping in China,,,1,,,1,,,,,,,
existing,rice,2020,10.3390/rs12213613,Phenology/Threshold,,abstract,RNN/LSTM|CNN/Deep Learning|Random Forest/SVM|Object-Based|Phenology/Threshold,90.6,90.6,,Sentinel-2,10,Indonesia,random CV/split,,random CV/split,overall accuracy of 90.6%,"092_Automatic Mapping of Rice Growth Stages Using the Integration of SENTINEL-2, MOD13Q1, and SENTINEL-1",,,1,,,1,,,79,,,,
